ConstructionType,ConstructionName,CementQuality,CementPrice,BrickQuality,BrickPrice,SandQuality,SandPrice,IronQuality,IronPrice,EnvironmentalCondition,Seller,Price
Roads,MarineDrive,High,280,High,20,High,440,Medium,46000,tightsoil,BirlaCement,3500000
Roads,Rajpath,Low,320,Low,50,Low,240,Low,40000,loosesoil,UltraTechCementLtd,2930000
Roads,AnnaSalai,Low,490,Low,50,High,470,High,36000,tightsoil,JSWCementLtd,4560000
Roads,ParkStreet,Medium,230,Medium,50,Medium,350,Medium,20000,humidity,AsianPaints(forpaints&coatings),3410000
Roads,M.G.Road,Low,200,Low,30,Medium,360,Medium,48000,loosesoil,LafargeHolcimIndia,2330000
Roads,BrigadeRoad,Low,390,Low,40,High,460,Low,20000,tightsoil,UltraTechCementLtd,4030000
Roads,CarterRoad,High,280,Low,50,Low,460,High,48000,heavyrain,NerolacPaints,2180000
Roads,JawaharlalNehruRoad,Medium,210,Medium,50,High,310,Medium,24000,humidity,RamcoCementsLtd,4920000
Roads,C.G.Road,Low,220,Low,20,Medium,410,Medium,34000,windy,BergerPaintsIndiaLtd,2650000
Roads,OuterRingRoad,Low,490,High,50,Low,330,Low,42000,loosesoil,SupremeIndustries(forpipes&fittings),3910000
Roads,SarjapurRoad,Medium,380,Medium,30,High,480,Medium,43000,loosesoil,ShreeCementLtd,3250000
Roads,CamacStreet,Low,330,High,20,High,250,High,24000,loosesoil,JindalSteel&PowerLtd,2700000
Roads,BanjaraHillsRoadNo.1,Medium,440,Low,40,Medium,500,Medium,43000,Hightemp,UltraTechCementLtd,4330000
Roads,JuhuTaraRoad,High,200,High,50,High,470,High,25000,Hightemp,DalmiaCement(Bharat)Ltd,2560000
Roads,NewMarketRoad,Medium,440,Medium,20,Medium,500,Low,20000,loosesoil,BergerPaintsIndiaLtd,2970000
Roads,ConnaughtPlaceInnerCircle,Medium,250,Low,20,Medium,270,Low,48000,windy,ACCLimited,2330000
Roads,F.C.Road,Low,300,Medium,50,High,480,Medium,42000,tightsoil,SupremeIndustries(forpipes&fittings),3710000
Roads,KasturbaRoad,Low,500,Low,50,Medium,430,Medium,44000,humidity,ACCLimited,2860000
Roads,AshramRoad,High,430,Low,40,Medium,420,Medium,48000,tightsoil,AsianPaints(forpaints&coatings),4770000
Roads,GariahatRoad,High,500,Low,50,High,380,Medium,46000,heavyrain,AmbujaCementsLtd,3820000
Roads,LinkingRoad,High,210,Medium,20,Low,360,High,50000,humidity,JSWCementLtd,4880000
Roads,PaliHillRoad,Low,340,Low,40,High,500,Low,47000,humidity,DalmiaCement(Bharat)Ltd,2320000
Roads,VittalMallyaRoad,High,220,Medium,50,High,350,Medium,46000,humidity,ShreeCementLtd,2350000
Roads,VIPRoad,Medium,340,Low,30,Low,500,Low,26000,tightsoil,TataSteelLimited,2940000
Roads,BreachCandyRoad,High,260,Low,30,High,490,Low,31000,tightsoil,NerolacPaints,3910000
Roads,CommercialStreet,High,420,Low,50,High,490,Low,40000,loosesoil,AmbujaCementsLtd,2840000
Roads,InfantryRoad,Low,230,High,20,High,420,Low,47000,windy,LafargeHolcimIndia,2540000
Roads,TolstoyRoad,Medium,410,High,40,High,400,Low,46000,tightsoil,SupremeIndustries(forpipes&fittings),4950000
Roads,BurdwanRoad,Medium,250,Medium,20,Medium,280,Low,21000,windy,RamcoCementsLtd,4840000
Roads,Elliot?sBeachRoad,Low,410,Low,40,Medium,370,Low,29000,Hightemp,ACCLimited,2370000
Highways,NationalHighway44(NH44),Medium,270,High,20,Low,220,High,45000,Hightemp,ACCLimited,2600000
Highways,NationalHighway48(NH48),High,300,Medium,50,Medium,360,Medium,40000,humidity,BirlaCement,4620000
Highways,NationalHighway16(NH16),Medium,370,High,30,High,220,High,31000,heavyrain,ShreeCementLtd,4430000
Highways,NationalHighway19(NH19),Medium,330,Low,30,High,320,High,22000,windy,Hindware(HSILLimited),3240000
Highways,Mumbai-PuneExpressway,Medium,460,Low,30,Medium,320,Low,22000,humidity,BergerPaintsIndiaLtd,3330000
Highways,YamunaExpressway,Medium,280,Medium,20,Low,470,Low,50000,heavyrain,TataSteelLimited,4290000
Highways,Delhi?MumbaiExpressway,High,230,Medium,30,Medium,380,High,28000,heavyrain,LafargeHolcimIndia,3120000
Highways,EasternPeripheralExpressway,High,350,Medium,20,Medium,410,Medium,24000,tightsoil,AmbujaCementsLtd,4540000
Highways,WesternPeripheralExpressway,Low,340,Medium,20,Low,490,High,32000,windy,ShreeCementLtd,4320000
Highways,GoldenQuadrilateralHighway,Medium,230,Low,30,Low,260,High,50000,Hightemp,ACCLimited,3850000
Highways,Bengaluru-ChennaiExpressway,Medium,310,Low,40,High,200,Low,29000,heavyrain,Hindware(HSILLimited),4770000
Highways,Hyderabad-BangaloreExpressway,High,480,High,20,Medium,310,Medium,39000,tightsoil,RamcoCementsLtd,3840000
Highways,Ahmedabad-VadodaraExpressway,Low,410,High,40,Medium,480,Medium,23000,loosesoil,BergerPaintsIndiaLtd,4300000
Highways,Chennai-KolkataHighway,Low,310,Medium,20,Low,330,Low,37000,windy,SupremeIndustries(forpipes&fittings),3610000
Highways,North-SouthCorridorHighway,Low,230,Low,30,Medium,500,Low,39000,heavyrain,NerolacPaints,3850000
Highways,East-WestCorridorHighway,Low,350,Medium,30,Medium,440,Low,29000,heavyrain,RamcoCementsLtd,3930000
Highways,Lucknow-AgraExpressway,High,200,High,20,Low,330,Low,35000,windy,ShreeCementLtd,2140000
Highways,Hyderabad-VijayawadaExpressway,Low,290,Medium,20,Low,250,Low,36000,Hightemp,JSWCementLtd,2560000
Highways,Mumbai-GoaHighway,High,340,High,30,Medium,430,High,30000,windy,LafargeHolcimIndia,4150000
Highways,Delhi-MeerutExpressway,Medium,420,High,40,Medium,420,Medium,21000,heavyrain,JSWCementLtd,2000000
Highways,Kanyakumari-BangaloreHighway,Medium,270,High,30,Medium,390,Low,40000,Hightemp,VizagSteel(RINL-RashtriyaIspatNigamLtd),4670000
Highways,GangaExpressway,High,350,Low,20,Low,320,High,36000,humidity,ACCLimited,4780000
Highways,Mumbai-NashikExpressway,Low,430,High,50,High,340,Medium,40000,humidity,UltraTechCementLtd,2450000
Highways,Chennai-SalemExpressway,Low,340,Medium,40,Low,310,Low,31000,tightsoil,ACCLimited,3450000
Highways,Ahmedabad-DholeraExpressway,Medium,400,High,40,Medium,210,Low,48000,Hightemp,JSWCementLtd,4010000
Highways,Nagpur-HyderabadHighway,Low,330,High,40,Low,390,Low,45000,tightsoil,RamcoCementsLtd,4170000
Highways,Pune-BengaluruHighway,Low,240,High,20,Low,270,Low,31000,windy,AsianPaints(forpaints&coatings),2390000
Highways,Jaipur-KishangarhExpressway,Medium,400,High,20,High,430,Low,42000,Hightemp,AmbujaCementsLtd,3690000
Highways,Kolkata-DurgapurExpressway,Medium,240,Medium,20,High,480,High,44000,heavyrain,SupremeIndustries(forpipes&fittings),3840000
Highways,Delhi-JaipurExpressway,High,240,Low,50,High,250,High,43000,tightsoil,UltraTechCementLtd,3890000
Bridges,HowrahBridge,Medium,480,Medium,40,Medium,200,High,25000,Hightemp,RamcoCementsLtd,4540000
